"Index","Var_name","Var_type","Estimate","Hit_Type","L_bound","U_bound","Distance_to_bound","Gradient"
2,"diff_coffs(1,2)","diff_coffs",4.4525739e-10,"Lower",0,4,4.4525739e-10,7.6914124e-08
3,"diff_coffs(1,3)","diff_coffs",1.4275217e-09,"Lower",0,4,1.4275217e-09,-3.7348658e-08
4,"diff_coffs(1,4)","diff_coffs",8.0353302e-10,"Lower",0,4,8.0353302e-10,3.8777937e-08
11,"diff_coffs(1,11)","diff_coffs",2.4575912e-09,"Lower",0,4,2.4575912e-09,2.6984525e-08
13,"diff_coffs(1,13)","diff_coffs",7.0104078e-10,"Lower",0,4,7.0104078e-10,-5.304576e-08
14,"diff_coffs(1,14)","diff_coffs",1.3027627e-08,"Lower",0,4,1.3027627e-08,-2.0205471e-08
15,"diff_coffs(1,15)","diff_coffs",3.904379e-09,"Lower",0,4,3.904379e-09,3.7288038e-08
17,"diff_coffs(1,17)","diff_coffs",8.2442275e-11,"Lower",0,4,8.2442275e-11,-5.6263644e-08
20,"diff_coffs(1,20)","diff_coffs",5.1870419e-10,"Lower",0,4,5.1870419e-10,1.1654061e-08
21,"diff_coffs(1,21)","diff_coffs",2.0659507e-09,"Lower",0,4,2.0659507e-09,-1.6425643e-08
24,"diff_coffs(1,24)","diff_coffs",1.0850361e-09,"Lower",0,4,1.0850361e-09,-4.8475835e-08
28,"diff_coffs(2,2)","diff_coffs",1.3133774e-09,"Lower",0,4,1.3133774e-09,5.950558e-08
30,"diff_coffs(2,4)","diff_coffs",8.4533758e-10,"Lower",0,4,8.4533758e-10,-1.5694572e-08
32,"diff_coffs(2,6)","diff_coffs",7.7176598e-10,"Lower",0,4,7.7176598e-10,3.0021492e-08
34,"diff_coffs(2,8)","diff_coffs",1.9290147e-10,"Lower",0,4,1.9290147e-10,-1.1821792e-08
37,"diff_coffs(2,11)","diff_coffs",1.9733464e-09,"Lower",0,4,1.9733464e-09,-1.3656443e-08
38,"diff_coffs(2,12)","diff_coffs",7.9028384e-10,"Lower",0,4,7.9028384e-10,3.9303391e-08
39,"diff_coffs(2,13)","diff_coffs",2.2099818e-09,"Lower",0,4,2.2099818e-09,-2.2669401e-08
40,"diff_coffs(2,14)","diff_coffs",1.5333554e-08,"Lower",0,4,1.5333554e-08,7.2183021e-08
41,"diff_coffs(2,15)","diff_coffs",2.8703822e-09,"Lower",0,4,2.8703822e-09,-2.615306e-08
42,"diff_coffs(2,16)","diff_coffs",4.0244144e-09,"Lower",0,4,4.0244144e-09,4.767095e-08
43,"diff_coffs(2,17)","diff_coffs",6.3506533e-11,"Lower",0,4,6.3506533e-11,2.7247218e-08
44,"diff_coffs(2,18)","diff_coffs",2.1485502e-08,"Lower",0,4,2.1485502e-08,-4.1485701e-08
46,"diff_coffs(2,20)","diff_coffs",4.5833737e-10,"Lower",0,4,4.5833737e-10,6.2235863e-08
48,"diff_coffs(2,22)","diff_coffs",2.5862557e-10,"Lower",0,4,2.5862557e-10,6.0896751e-08
50,"diff_coffs(2,24)","diff_coffs",7.300478e-10,"Lower",0,4,7.300478e-10,-4.9526877e-08
51,"diff_coffs(2,25)","diff_coffs",2.352823e-08,"Lower",0,4,2.352823e-08,-6.3776867e-08
52,"diff_coffs(2,26)","diff_coffs",3.3478162e-09,"Lower",0,4,3.3478162e-09,3.6172079e-09
54,"diff_coffs(3,2)","diff_coffs",6.0152616e-10,"Lower",0,4,6.0152616e-10,-3.2719422e-08
55,"diff_coffs(3,3)","diff_coffs",4.6997783e-09,"Lower",0,4,4.6997783e-09,-7.4246074e-09
57,"diff_coffs(3,5)","diff_coffs",1.2033174e-09,"Lower",0,4,1.2033174e-09,2.1678193e-09
58,"diff_coffs(3,6)","diff_coffs",9.779737e-10,"Lower",0,4,9.779737e-10,6.3172875e-08
59,"diff_coffs(3,7)","diff_coffs",1.5381886e-08,"Lower",0,4,1.5381886e-08,1.5703828e-07
60,"diff_coffs(3,8)","diff_coffs",1.7584867e-10,"Lower",0,4,1.7584867e-10,-1.1441488e-07
63,"diff_coffs(3,11)","diff_coffs",1.2771404e-09,"Lower",0,4,1.2771404e-09,6.2554648e-08
65,"diff_coffs(3,13)","diff_coffs",2.6532503e-09,"Lower",0,4,2.6532503e-09,2.1446907e-08
66,"diff_coffs(3,14)","diff_coffs",2.6740201e-09,"Lower",0,4,2.6740201e-09,-1.1422094e-09
67,"diff_coffs(3,15)","diff_coffs",1.7394215e-08,"Lower",0,4,1.7394215e-08,4.8060302e-08
69,"diff_coffs(3,17)","diff_coffs",5.3119065e-11,"Lower",0,4,5.3119065e-11,-1.3461504e-07
70,"diff_coffs(3,18)","diff_coffs",6.9781865e-09,"Lower",0,4,6.9781865e-09,1.042448e-08
71,"diff_coffs(3,19)","diff_coffs",1.4596699e-09,"Lower",0,4,1.4596699e-09,-6.3648832e-08
72,"diff_coffs(3,20)","diff_coffs",4.5342685e-10,"Lower",0,4,4.5342685e-10,7.398162e-08
74,"diff_coffs(3,22)","diff_coffs",3.4002667e-10,"Lower",0,4,3.4002667e-10,6.971483e-08
76,"diff_coffs(3,24)","diff_coffs",7.4336848e-10,"Lower",0,4,7.4336848e-10,-2.7390263e-08
78,"diff_coffs(3,26)","diff_coffs",1.6204958e-08,"Lower",0,4,1.6204958e-08,8.3125506e-09
79,"diff_coffs(4,1)","diff_coffs",2.7288356e-09,"Lower",0,4,2.7288356e-09,-6.9509432e-09
80,"diff_coffs(4,2)","diff_coffs",4.1536086e-10,"Lower",0,4,4.1536086e-10,-4.20524e-08
81,"diff_coffs(4,3)","diff_coffs",1.233835e-09,"Lower",0,4,1.233835e-09,3.521665e-08
83,"diff_coffs(4,5)","diff_coffs",7.3404682e-10,"Lower",0,4,7.3404682e-10,-3.4149108e-08
84,"diff_coffs(4,6)","diff_coffs",1.5031123e-09,"Lower",0,4,1.5031123e-09,-7.3267081e-08
86,"diff_coffs(4,8)","diff_coffs",2.5989411e-10,"Lower",0,4,2.5989411e-10,5.0773282e-08
91,"diff_coffs(4,13)","diff_coffs",2.8354947e-09,"Lower",0,4,2.8354947e-09,-3.1186377e-09
95,"diff_coffs(4,17)","diff_coffs",5.3201665e-11,"Lower",0,4,5.3201665e-11,-1.8510777e-07
97,"diff_coffs(4,19)","diff_coffs",1.3597876e-09,"Lower",0,4,1.3597876e-09,2.337182e-08
98,"diff_coffs(4,20)","diff_coffs",6.6054007e-10,"Lower",0,4,6.6054007e-10,3.8675177e-08
100,"diff_coffs(4,22)","diff_coffs",4.7374682e-10,"Lower",0,4,4.7374682e-10,-1.033925e-08
101,"diff_coffs(4,23)","diff_coffs",9.3922807e-09,"Lower",0,4,9.3922807e-09,1.238602e-08
102,"diff_coffs(4,24)","diff_coffs",8.5319507e-10,"Lower",0,4,8.5319507e-10,-1.7348348e-08
1294,"region_rec_diffs(5,74)","region_rec_diffs",2.9986056,"Upper",-3,3,0.00139440000000013,1.3123819e-05
1911,"region_rec_diffs(7,133)","region_rec_diffs",-2.9999996,"Lower",-3,3,3.99999999789458e-07,-1.7412315e-09
2365,"region_rec_diffs(9,29)","region_rec_diffs",2.9999997,"Upper",-3,3,2.99999999953116e-07,1.6844489e-10
2666,"bs_selcoff_gp:11(11,1,1,1)","bs_selcoff_gp",-19.999992,"Lower",-20,7,8.00000000111822e-06,7.7736177e-07
2680,"bs_selcoff_gp:13(13,1,1,5)","bs_selcoff_gp",-20,"Lower",-20,7,0,-1.4673227e-07
