"Index","Var_name","Var_type","Estimate","Hit_Type","L_bound","U_bound","Distance_to_bound","Gradient"
1,"diff_coffs(1,1)","diff_coffs",8.239682e-09,"Lower",0,4,8.239682e-09,-7.635105e-09
2,"diff_coffs(1,2)","diff_coffs",1.2460419e-09,"Lower",0,4,1.2460419e-09,1.679103e-09
4,"diff_coffs(1,4)","diff_coffs",4.65882e-10,"Lower",0,4,4.65882e-10,4.0651918e-09
13,"diff_coffs(1,13)","diff_coffs",3.4143555e-10,"Lower",0,4,3.4143555e-10,2.3912946e-06
14,"diff_coffs(1,14)","diff_coffs",6.7155386e-09,"Lower",0,4,6.7155386e-09,1.7417847e-09
15,"diff_coffs(1,15)","diff_coffs",1.212904e-08,"Lower",0,4,1.212904e-08,-1.3032788e-07
17,"diff_coffs(1,17)","diff_coffs",6.7803319e-11,"Lower",0,4,6.7803319e-11,-1.9838058e-06
18,"diff_coffs(1,18)","diff_coffs",8.0622249e-09,"Lower",0,4,8.0622249e-09,3.5012394e-09
19,"diff_coffs(1,19)","diff_coffs",3.4598429e-07,"Lower",0,4,3.4598429e-07,2.6736344e-06
20,"diff_coffs(1,20)","diff_coffs",1.1850565e-10,"Lower",0,4,1.1850565e-10,-1.5152142e-08
21,"diff_coffs(1,21)","diff_coffs",2.0551953e-09,"Lower",0,4,2.0551953e-09,1.0403924e-06
24,"diff_coffs(1,24)","diff_coffs",2.8742027e-09,"Lower",0,4,2.8742027e-09,1.3589842e-09
27,"diff_coffs(2,1)","diff_coffs",4.7726008e-09,"Lower",0,4,4.7726008e-09,-3.4210487e-08
28,"diff_coffs(2,2)","diff_coffs",7.8781071e-10,"Lower",0,4,7.8781071e-10,4.7484548e-09
29,"diff_coffs(2,3)","diff_coffs",2.0672686e-09,"Lower",0,4,2.0672686e-09,-1.5362902e-06
30,"diff_coffs(2,4)","diff_coffs",7.5671891e-10,"Lower",0,4,7.5671891e-10,-6.0350894e-06
31,"diff_coffs(2,5)","diff_coffs",3.1620861e-10,"Lower",0,4,3.1620861e-10,5.0102855e-08
32,"diff_coffs(2,6)","diff_coffs",4.5640736e-10,"Lower",0,4,4.5640736e-10,1.1370304e-06
34,"diff_coffs(2,8)","diff_coffs",4.5534465e-10,"Lower",0,4,4.5534465e-10,7.1364321e-07
37,"diff_coffs(2,11)","diff_coffs",1.4857817e-09,"Lower",0,4,1.4857817e-09,1.2751916e-06
38,"diff_coffs(2,12)","diff_coffs",8.1496232e-10,"Lower",0,4,8.1496232e-10,-1.7652801e-09
39,"diff_coffs(2,13)","diff_coffs",3.6331915e-10,"Lower",0,4,3.6331915e-10,-2.6462502e-06
40,"diff_coffs(2,14)","diff_coffs",5.0058893e-09,"Lower",0,4,5.0058893e-09,4.5802011e-09
41,"diff_coffs(2,15)","diff_coffs",5.1528544e-09,"Lower",0,4,5.1528544e-09,-9.9561659e-06
43,"diff_coffs(2,17)","diff_coffs",8.1900708e-11,"Lower",0,4,8.1900708e-11,1.7406549e-07
46,"diff_coffs(2,20)","diff_coffs",1.1313461e-10,"Lower",0,4,1.1313461e-10,-2.4260222e-07
48,"diff_coffs(2,22)","diff_coffs",3.477536e-10,"Lower",0,4,3.477536e-10,-2.3957127e-08
50,"diff_coffs(2,24)","diff_coffs",1.8434183e-09,"Lower",0,4,1.8434183e-09,-6.1094287e-09
51,"diff_coffs(2,25)","diff_coffs",4.9608419e-08,"Lower",0,4,4.9608419e-08,4.7146561e-06
52,"diff_coffs(2,26)","diff_coffs",1.6489434e-09,"Lower",0,4,1.6489434e-09,-1.4705673e-06
54,"diff_coffs(3,2)","diff_coffs",7.1509532e-10,"Lower",0,4,7.1509532e-10,-6.6192408e-07
55,"diff_coffs(3,3)","diff_coffs",1.6316577e-09,"Lower",0,4,1.6316577e-09,1.6570599e-07
57,"diff_coffs(3,5)","diff_coffs",2.2081292e-10,"Lower",0,4,2.2081292e-10,-1.0197829e-07
58,"diff_coffs(3,6)","diff_coffs",6.9059469e-10,"Lower",0,4,6.9059469e-10,1.9216027e-06
60,"diff_coffs(3,8)","diff_coffs",6.349985e-10,"Lower",0,4,6.349985e-10,3.3841627e-07
63,"diff_coffs(3,11)","diff_coffs",7.6204842e-10,"Lower",0,4,7.6204842e-10,7.0580879e-06
65,"diff_coffs(3,13)","diff_coffs",3.3607384e-10,"Lower",0,4,3.3607384e-10,2.5795357e-06
66,"diff_coffs(3,14)","diff_coffs",1.9360382e-09,"Lower",0,4,1.9360382e-09,-1.9880581e-06
68,"diff_coffs(3,16)","diff_coffs",3.9760373e-09,"Lower",0,4,3.9760373e-09,1.0521982e-06
69,"diff_coffs(3,17)","diff_coffs",4.2295056e-11,"Lower",0,4,4.2295056e-11,-9.2150261e-07
70,"diff_coffs(3,18)","diff_coffs",4.7336626e-09,"Lower",0,4,4.7336626e-09,2.5292028e-08
72,"diff_coffs(3,20)","diff_coffs",1.3307266e-10,"Lower",0,4,1.3307266e-10,4.8861677e-09
74,"diff_coffs(3,22)","diff_coffs",5.5800053e-10,"Lower",0,4,5.5800053e-10,2.4830014e-08
75,"diff_coffs(3,23)","diff_coffs",5.0631028e-08,"Lower",0,4,5.0631028e-08,2.4264411e-06
76,"diff_coffs(3,24)","diff_coffs",2.2343141e-09,"Lower",0,4,2.2343141e-09,3.224322e-09
79,"diff_coffs(4,1)","diff_coffs",1.5693897e-08,"Lower",0,4,1.5693897e-08,-2.4123562e-06
80,"diff_coffs(4,2)","diff_coffs",8.6427376e-10,"Lower",0,4,8.6427376e-10,1.3627971e-07
81,"diff_coffs(4,3)","diff_coffs",3.3813521e-09,"Lower",0,4,3.3813521e-09,-1.3134457e-08
82,"diff_coffs(4,4)","diff_coffs",5.3665739e-10,"Lower",0,4,5.3665739e-10,-7.2085661e-08
83,"diff_coffs(4,5)","diff_coffs",3.0254821e-10,"Lower",0,4,3.0254821e-10,8.5034779e-09
84,"diff_coffs(4,6)","diff_coffs",3.2203107e-10,"Lower",0,4,3.2203107e-10,1.3039265e-06
86,"diff_coffs(4,8)","diff_coffs",1.4502799e-09,"Lower",0,4,1.4502799e-09,2.4383874e-08
87,"diff_coffs(4,9)","diff_coffs",3.0375566e-08,"Lower",0,4,3.0375566e-08,3.2703388e-07
89,"diff_coffs(4,11)","diff_coffs",1.2436066e-09,"Lower",0,4,1.2436066e-09,1.2914004e-08
91,"diff_coffs(4,13)","diff_coffs",4.4755266e-10,"Lower",0,4,4.4755266e-10,3.1879262e-06
92,"diff_coffs(4,14)","diff_coffs",6.4082166e-09,"Lower",0,4,6.4082166e-09,9.2783798e-09
94,"diff_coffs(4,16)","diff_coffs",8.5992324e-09,"Lower",0,4,8.5992324e-09,-1.4668403e-08
95,"diff_coffs(4,17)","diff_coffs",4.7734927e-11,"Lower",0,4,4.7734927e-11,8.4989231e-07
96,"diff_coffs(4,18)","diff_coffs",5.4617468e-09,"Lower",0,4,5.4617468e-09,-3.7194603e-08
98,"diff_coffs(4,20)","diff_coffs",1.2320966e-10,"Lower",0,4,1.2320966e-10,5.7482595e-06
100,"diff_coffs(4,22)","diff_coffs",2.6303104e-09,"Lower",0,4,2.6303104e-09,2.5695398e-09
101,"diff_coffs(4,23)","diff_coffs",7.5012039e-09,"Lower",0,4,7.5012039e-09,1.3530877e-06
102,"diff_coffs(4,24)","diff_coffs",2.5668541e-09,"Lower",0,4,2.5668541e-09,4.8347589e-09
281,"region_rec_diffs(1,177)","region_rec_diffs",-2.9980841,"Lower",-3,3,0.00191590000000019,3.4874627e-06
1101,"region_rec_diffs(4,160)","region_rec_diffs",-2.9999994,"Lower",-3,3,5.99999999906231e-07,1.1940923e-07
1428,"region_rec_diffs(5,208)","region_rec_diffs",-2.9999993,"Lower",-3,3,7.00000000186662e-07,-8.8234941e-08
1744,"region_rec_diffs(6,245)","region_rec_diffs",2.9999999,"Upper",-3,3,9.99999998363421e-08,2.5157844e-06
1891,"region_rec_diffs(7,113)","region_rec_diffs",-2.9999999,"Lower",-3,3,9.99999998363421e-08,3.6028076e-08
1910,"region_rec_diffs(7,132)","region_rec_diffs",-2.9999997,"Lower",-3,3,2.99999999953116e-07,-4.0051919e-09
2388,"region_rec_diffs(9,52)","region_rec_diffs",2.9999994,"Upper",-3,3,5.99999999906231e-07,1.3680362e-07
2410,"region_rec_diffs(9,74)","region_rec_diffs",2.999999,"Upper",-3,3,1.00000000013978e-06,-2.4486591e-07
2508,"region_rec_diffs(9,172)","region_rec_diffs",2.9999998,"Upper",-3,3,2.00000000116773e-07,-2.1157718e-06
2666,"bs_selcoff_gp:11(11,1,1,1)","bs_selcoff_gp",-19.999996,"Lower",-20,7,4.00000000055911e-06,1.6153459e-07
2680,"bs_selcoff_gp:13(13,1,1,5)","bs_selcoff_gp",-20,"Lower",-20,7,0,-1.2151518e-07
2690,"bs_selcoff_gp:15(15,1,1,5)","bs_selcoff_gp",-19.999999,"Lower",-20,7,1.00000000102796e-06,1.5934928e-06
2730,"bs_selcoff_gp:23(23,1,1,5)","bs_selcoff_gp",-19.999998,"Lower",-20,7,1.9999999985032e-06,-4.2000404e-09
2740,"bs_selcoff_gp:25(25,1,1,5)","bs_selcoff_gp",-19.999987,"Lower",-20,7,1.29999999991526e-05,-6.9369468e-08
2755,"bs_selcoff_gp:28(28,1,1,5)","bs_selcoff_gp",-19.999999,"Lower",-20,7,1.00000000102796e-06,8.5709647e-07
2756,"bs_selcoff_gp:29(29,1,1,1)","bs_selcoff_gp",-20,"Lower",-20,7,0,2.6155057e-08
