"Index","Var_name","Var_type","Estimate","Hit_Type","L_bound","U_bound","Distance_to_bound","Gradient"
2,"diff_coffs(1,2)","diff_coffs",6.4803363e-10,"Lower",0,4,6.4803363e-10,-0.73281135
3,"diff_coffs(1,3)","diff_coffs",1.9129578e-09,"Lower",0,4,1.9129578e-09,-0.46160805
4,"diff_coffs(1,4)","diff_coffs",1.076927e-09,"Lower",0,4,1.076927e-09,-0.043928733
11,"diff_coffs(1,11)","diff_coffs",3.2556542e-09,"Lower",0,4,3.2556542e-09,0.27705187
13,"diff_coffs(1,13)","diff_coffs",8.9732355e-10,"Lower",0,4,8.9732355e-10,0.10539865
14,"diff_coffs(1,14)","diff_coffs",1.2348882e-08,"Lower",0,4,1.2348882e-08,-0.32255891
15,"diff_coffs(1,15)","diff_coffs",4.7801858e-09,"Lower",0,4,4.7801858e-09,0.26650929
17,"diff_coffs(1,17)","diff_coffs",1.0962453e-10,"Lower",0,4,1.0962453e-10,0.037095264
20,"diff_coffs(1,20)","diff_coffs",6.8545125e-10,"Lower",0,4,6.8545125e-10,0.23701068
21,"diff_coffs(1,21)","diff_coffs",2.3802929e-09,"Lower",0,4,2.3802929e-09,-0.75456783
24,"diff_coffs(1,24)","diff_coffs",1.4550774e-09,"Lower",0,4,1.4550774e-09,0.45187906
28,"diff_coffs(2,2)","diff_coffs",1.7344857e-09,"Lower",0,4,1.7344857e-09,-0.74045503
30,"diff_coffs(2,4)","diff_coffs",1.1349448e-09,"Lower",0,4,1.1349448e-09,-0.060127358
32,"diff_coffs(2,6)","diff_coffs",1.024391e-09,"Lower",0,4,1.024391e-09,0.52393934
34,"diff_coffs(2,8)","diff_coffs",2.4130475e-10,"Lower",0,4,2.4130475e-10,0.078955625
37,"diff_coffs(2,11)","diff_coffs",2.5453859e-09,"Lower",0,4,2.5453859e-09,0.1889227
38,"diff_coffs(2,12)","diff_coffs",1.0477841e-09,"Lower",0,4,1.0477841e-09,-0.71502283
39,"diff_coffs(2,13)","diff_coffs",2.7457017e-09,"Lower",0,4,2.7457017e-09,0.11641343
40,"diff_coffs(2,14)","diff_coffs",1.7322656e-08,"Lower",0,4,1.7322656e-08,-0.27562518
41,"diff_coffs(2,15)","diff_coffs",3.811836e-09,"Lower",0,4,3.811836e-09,0.19691242
42,"diff_coffs(2,16)","diff_coffs",5.0217155e-09,"Lower",0,4,5.0217155e-09,-2.9101813
43,"diff_coffs(2,17)","diff_coffs",8.6922025e-11,"Lower",0,4,8.6922025e-11,0.029308337
44,"diff_coffs(2,18)","diff_coffs",3.2780826e-08,"Lower",0,4,3.2780826e-08,-0.18180027
46,"diff_coffs(2,20)","diff_coffs",6.0584182e-10,"Lower",0,4,6.0584182e-10,0.21771057
48,"diff_coffs(2,22)","diff_coffs",3.46003e-10,"Lower",0,4,3.46003e-10,-2.1137538
50,"diff_coffs(2,24)","diff_coffs",9.6537844e-10,"Lower",0,4,9.6537844e-10,0.43209789
51,"diff_coffs(2,25)","diff_coffs",5.9662922e-08,"Lower",0,4,5.9662922e-08,3.4224817
52,"diff_coffs(2,26)","diff_coffs",4.4005342e-09,"Lower",0,4,4.4005342e-09,-0.019955067
54,"diff_coffs(3,2)","diff_coffs",7.9894868e-10,"Lower",0,4,7.9894868e-10,-0.66948338
55,"diff_coffs(3,3)","diff_coffs",6.0760055e-09,"Lower",0,4,6.0760055e-09,-0.7903135
57,"diff_coffs(3,5)","diff_coffs",1.5992154e-09,"Lower",0,4,1.5992154e-09,-0.11808334
58,"diff_coffs(3,6)","diff_coffs",1.2926009e-09,"Lower",0,4,1.2926009e-09,0.6915963
59,"diff_coffs(3,7)","diff_coffs",1.9672393e-08,"Lower",0,4,1.9672393e-08,2.3476135
60,"diff_coffs(3,8)","diff_coffs",2.2778446e-10,"Lower",0,4,2.2778446e-10,0.099981931
63,"diff_coffs(3,11)","diff_coffs",1.6946584e-09,"Lower",0,4,1.6946584e-09,0.18379286
65,"diff_coffs(3,13)","diff_coffs",3.3109666e-09,"Lower",0,4,3.3109666e-09,0.19248002
66,"diff_coffs(3,14)","diff_coffs",3.2137888e-09,"Lower",0,4,3.2137888e-09,-0.13950479
67,"diff_coffs(3,15)","diff_coffs",1.4166805e-08,"Lower",0,4,1.4166805e-08,0.40320461
69,"diff_coffs(3,17)","diff_coffs",7.2138517e-11,"Lower",0,4,7.2138517e-11,0.027201361
70,"diff_coffs(3,18)","diff_coffs",9.7852921e-09,"Lower",0,4,9.7852921e-09,-0.1678451
71,"diff_coffs(3,19)","diff_coffs",1.9970383e-09,"Lower",0,4,1.9970383e-09,-0.40295842
72,"diff_coffs(3,20)","diff_coffs",6.0139693e-10,"Lower",0,4,6.0139693e-10,0.2051254
74,"diff_coffs(3,22)","diff_coffs",4.6331405e-10,"Lower",0,4,4.6331405e-10,-2.3722024
76,"diff_coffs(3,24)","diff_coffs",9.8395359e-10,"Lower",0,4,9.8395359e-10,0.40665309
78,"diff_coffs(3,26)","diff_coffs",2.1120575e-08,"Lower",0,4,2.1120575e-08,-0.056523207
79,"diff_coffs(4,1)","diff_coffs",3.650733e-09,"Lower",0,4,3.650733e-09,0.078037985
80,"diff_coffs(4,2)","diff_coffs",5.5216631e-10,"Lower",0,4,5.5216631e-10,-0.59968928
81,"diff_coffs(4,3)","diff_coffs",1.6331667e-09,"Lower",0,4,1.6331667e-09,-0.41534031
83,"diff_coffs(4,5)","diff_coffs",9.7250763e-10,"Lower",0,4,9.7250763e-10,-0.10531469
84,"diff_coffs(4,6)","diff_coffs",1.9946731e-09,"Lower",0,4,1.9946731e-09,0.88771308
86,"diff_coffs(4,8)","diff_coffs",3.3478975e-10,"Lower",0,4,3.3478975e-10,0.13480654
91,"diff_coffs(4,13)","diff_coffs",3.4121594e-09,"Lower",0,4,3.4121594e-09,0.21240567
95,"diff_coffs(4,17)","diff_coffs",7.3043349e-11,"Lower",0,4,7.3043349e-11,0.028625045
97,"diff_coffs(4,19)","diff_coffs",1.8081219e-09,"Lower",0,4,1.8081219e-09,-0.39402931
98,"diff_coffs(4,20)","diff_coffs",8.985388e-10,"Lower",0,4,8.985388e-10,0.33372795
100,"diff_coffs(4,22)","diff_coffs",6.5199246e-10,"Lower",0,4,6.5199246e-10,-2.7781893
101,"diff_coffs(4,23)","diff_coffs",8.0261187e-09,"Lower",0,4,8.0261187e-09,1.0600497
102,"diff_coffs(4,24)","diff_coffs",1.0360244e-09,"Lower",0,4,1.0360244e-09,0.44544101
1294,"region_rec_diffs(5,74)","region_rec_diffs",2.9996271,"Upper",-3,3,0.000372899999999898,0.0022034009
1911,"region_rec_diffs(7,133)","region_rec_diffs",-2.9999996,"Lower",-3,3,3.99999999789458e-07,0.0012469251
2365,"region_rec_diffs(9,29)","region_rec_diffs",2.9999997,"Upper",-3,3,2.99999999953116e-07,-0.00021137159
2666,"bs_selcoff_gp:11(11,1,1,1)","bs_selcoff_gp",-19.99999,"Lower",-20,7,9.99999999962142e-06,0.014581067
2680,"bs_selcoff_gp:13(13,1,1,5)","bs_selcoff_gp",-20,"Lower",-20,7,0,0.013237766
2690,"bs_selcoff_gp:15(15,1,1,5)","bs_selcoff_gp",-20,"Lower",-20,7,0,0.046851366
2755,"bs_selcoff_gp:28(28,1,1,5)","bs_selcoff_gp",-20,"Lower",-20,7,0,0.00096379139
2756,"bs_selcoff_gp:29(29,1,1,1)","bs_selcoff_gp",-20,"Lower",-20,7,0,-9.8694948e-06
3036,"tag_fish_rep(3)","tag_fish_rep",0.99,"Upper",0.001,0.99,0,1.5190904e-06
3045,"tag_fish_rep(19)","tag_fish_rep",0.98999999,"Upper",0.001,0.99,9.99999993922529e-09,1.5415705e-06
3051,"tag_fish_rep(35)","tag_fish_rep",0.98999997,"Upper",0.001,0.99,3.00000000397205e-08,3.1895485e-06
