"Index","Var_name","Var_type","Estimate","Hit_Type","L_bound","U_bound","Distance_to_bound","Gradient"
2,"diff_coffs(1,2)","diff_coffs",5.9326588e-10,"Lower",0,4,5.9326588e-10,-8.5767258e-07
3,"diff_coffs(1,3)","diff_coffs",2.5827678e-09,"Lower",0,4,2.5827678e-09,-4.1586511e-06
4,"diff_coffs(1,4)","diff_coffs",6.7113071e-10,"Lower",0,4,6.7113071e-10,-4.3581429e-06
11,"diff_coffs(1,11)","diff_coffs",1.7100568e-08,"Lower",0,4,1.7100568e-08,-7.3672521e-06
13,"diff_coffs(1,13)","diff_coffs",8.2368912e-10,"Lower",0,4,8.2368912e-10,6.0763175e-06
14,"diff_coffs(1,14)","diff_coffs",2.0398931e-09,"Lower",0,4,2.0398931e-09,-1.3674692e-06
15,"diff_coffs(1,15)","diff_coffs",6.082568e-09,"Lower",0,4,6.082568e-09,1.3561607e-06
17,"diff_coffs(1,17)","diff_coffs",7.8712592e-11,"Lower",0,4,7.8712592e-11,-1.5376044e-05
19,"diff_coffs(1,19)","diff_coffs",9.9749704e-09,"Lower",0,4,9.9749704e-09,-1.2555309e-05
20,"diff_coffs(1,20)","diff_coffs",4.3354453e-10,"Lower",0,4,4.3354453e-10,1.2252234e-06
21,"diff_coffs(1,21)","diff_coffs",9.3193906e-09,"Lower",0,4,9.3193906e-09,-1.6169593e-05
24,"diff_coffs(1,24)","diff_coffs",1.2675923e-09,"Lower",0,4,1.2675923e-09,9.5179817e-06
28,"diff_coffs(2,2)","diff_coffs",1.0398578e-09,"Lower",0,4,1.0398578e-09,-4.6053423e-07
30,"diff_coffs(2,4)","diff_coffs",9.1403396e-10,"Lower",0,4,9.1403396e-10,-5.8885796e-06
32,"diff_coffs(2,6)","diff_coffs",6.9839179e-10,"Lower",0,4,6.9839179e-10,6.0964138e-06
33,"diff_coffs(2,7)","diff_coffs",2.5664237e-09,"Lower",0,4,2.5664237e-09,6.3174699e-07
34,"diff_coffs(2,8)","diff_coffs",1.6457213e-10,"Lower",0,4,1.6457213e-10,4.5569873e-06
37,"diff_coffs(2,11)","diff_coffs",8.9341579e-10,"Lower",0,4,8.9341579e-10,5.9801507e-06
38,"diff_coffs(2,12)","diff_coffs",1.4603314e-09,"Lower",0,4,1.4603314e-09,-1.371119e-05
39,"diff_coffs(2,13)","diff_coffs",1.2869357e-09,"Lower",0,4,1.2869357e-09,1.1886645e-05
40,"diff_coffs(2,14)","diff_coffs",1.2197354e-09,"Lower",0,4,1.2197354e-09,-2.0143404e-06
41,"diff_coffs(2,15)","diff_coffs",2.4056361e-09,"Lower",0,4,2.4056361e-09,1.7676219e-06
42,"diff_coffs(2,16)","diff_coffs",1.3200026e-09,"Lower",0,4,1.3200026e-09,-2.7911946e-06
43,"diff_coffs(2,17)","diff_coffs",6.4243499e-11,"Lower",0,4,6.4243499e-11,-1.5611769e-05
44,"diff_coffs(2,18)","diff_coffs",4.7632633e-09,"Lower",0,4,4.7632633e-09,-3.9242674e-06
46,"diff_coffs(2,20)","diff_coffs",4.111913e-10,"Lower",0,4,4.111913e-10,1.6894583e-06
48,"diff_coffs(2,22)","diff_coffs",2.4278313e-10,"Lower",0,4,2.4278313e-10,-2.9888184e-06
50,"diff_coffs(2,24)","diff_coffs",9.7851616e-10,"Lower",0,4,9.7851616e-10,1.0071746e-05
51,"diff_coffs(2,25)","diff_coffs",6.0020423e-08,"Lower",0,4,6.0020423e-08,7.4991559e-06
52,"diff_coffs(2,26)","diff_coffs",4.4133117e-09,"Lower",0,4,4.4133117e-09,-2.9423335e-07
54,"diff_coffs(3,2)","diff_coffs",7.9789153e-10,"Lower",0,4,7.9789153e-10,-6.7445851e-07
55,"diff_coffs(3,3)","diff_coffs",1.0466221e-08,"Lower",0,4,1.0466221e-08,-1.5840995e-05
57,"diff_coffs(3,5)","diff_coffs",1.3958013e-09,"Lower",0,4,1.3958013e-09,4.5753342e-07
58,"diff_coffs(3,6)","diff_coffs",6.6719896e-10,"Lower",0,4,6.6719896e-10,6.347611e-06
59,"diff_coffs(3,7)","diff_coffs",5.6726082e-09,"Lower",0,4,5.6726082e-09,-9.5659747e-07
60,"diff_coffs(3,8)","diff_coffs",1.4785018e-10,"Lower",0,4,1.4785018e-10,3.6574685e-06
63,"diff_coffs(3,11)","diff_coffs",7.4490614e-10,"Lower",0,4,7.4490614e-10,5.4698399e-06
65,"diff_coffs(3,13)","diff_coffs",1.2220567e-09,"Lower",0,4,1.2220567e-09,1.0553017e-05
66,"diff_coffs(3,14)","diff_coffs",2.1226758e-09,"Lower",0,4,2.1226758e-09,-2.899105e-06
67,"diff_coffs(3,15)","diff_coffs",8.9916856e-09,"Lower",0,4,8.9916856e-09,6.0396864e-06
69,"diff_coffs(3,17)","diff_coffs",5.3459903e-11,"Lower",0,4,5.3459903e-11,-1.2956103e-05
70,"diff_coffs(3,18)","diff_coffs",2.9603677e-09,"Lower",0,4,2.9603677e-09,-3.7868845e-06
71,"diff_coffs(3,19)","diff_coffs",1.4826653e-09,"Lower",0,4,1.4826653e-09,-3.6945537e-06
72,"diff_coffs(3,20)","diff_coffs",3.7979708e-10,"Lower",0,4,3.7979708e-10,2.0987293e-06
74,"diff_coffs(3,22)","diff_coffs",6.1812533e-10,"Lower",0,4,6.1812533e-10,-4.0284947e-06
76,"diff_coffs(3,24)","diff_coffs",8.0152218e-10,"Lower",0,4,8.0152218e-10,7.7784796e-06
77,"diff_coffs(3,25)","diff_coffs",9.4552564e-09,"Lower",0,4,9.4552564e-09,3.7561183e-07
78,"diff_coffs(3,26)","diff_coffs",3.3671072e-08,"Lower",0,4,3.3671072e-08,-3.412658e-06
79,"diff_coffs(4,1)","diff_coffs",2.44107e-09,"Lower",0,4,2.44107e-09,2.6728048e-06
80,"diff_coffs(4,2)","diff_coffs",5.3616223e-10,"Lower",0,4,5.3616223e-10,1.7369248e-07
81,"diff_coffs(4,3)","diff_coffs",2.5325704e-09,"Lower",0,4,2.5325704e-09,-3.6178766e-06
83,"diff_coffs(4,5)","diff_coffs",7.8102147e-10,"Lower",0,4,7.8102147e-10,2.9902077e-07
84,"diff_coffs(4,6)","diff_coffs",9.0113028e-10,"Lower",0,4,9.0113028e-10,7.183957e-06
86,"diff_coffs(4,8)","diff_coffs",2.2527646e-10,"Lower",0,4,2.2527646e-10,4.0684775e-06
91,"diff_coffs(4,13)","diff_coffs",2.8747704e-09,"Lower",0,4,2.8747704e-09,2.1388669e-05
94,"diff_coffs(4,16)","diff_coffs",8.9218826e-09,"Lower",0,4,8.9218826e-09,-5.3765445e-06
95,"diff_coffs(4,17)","diff_coffs",5.4147797e-11,"Lower",0,4,5.4147797e-11,-1.2152754e-05
97,"diff_coffs(4,19)","diff_coffs",1.4714108e-09,"Lower",0,4,1.4714108e-09,-3.5590783e-06
98,"diff_coffs(4,20)","diff_coffs",5.198586e-10,"Lower",0,4,5.198586e-10,2.52497e-06
100,"diff_coffs(4,22)","diff_coffs",4.9393223e-10,"Lower",0,4,4.9393223e-10,-3.3975705e-06
101,"diff_coffs(4,23)","diff_coffs",1.6742898e-08,"Lower",0,4,1.6742898e-08,-2.0901424e-06
102,"diff_coffs(4,24)","diff_coffs",9.6211727e-10,"Lower",0,4,9.6211727e-10,8.8061595e-06
1902,"region_rec_diffs(7,124)","region_rec_diffs",-2.9999986,"Lower",-3,3,1.39999999992924e-06,-1.730405e-06
1911,"region_rec_diffs(7,133)","region_rec_diffs",-2.9999998,"Lower",-3,3,2.00000000116773e-07,-5.3362968e-07
2365,"region_rec_diffs(9,29)","region_rec_diffs",2.9999997,"Upper",-3,3,2.99999999953116e-07,-1.874737e-05
2680,"bs_selcoff_gp:13(13,1,1,5)","bs_selcoff_gp",-20,"Lower",-20,7,0,3.0604304e-08
2690,"bs_selcoff_gp:15(15,1,1,5)","bs_selcoff_gp",-20,"Lower",-20,7,0,4.9813566e-07
2700,"bs_selcoff_gp:17(17,1,1,5)","bs_selcoff_gp",-20,"Lower",-20,7,0,2.8109357e-07
2755,"bs_selcoff_gp:28(28,1,1,5)","bs_selcoff_gp",-20,"Lower",-20,7,0,2.4097534e-07
2756,"bs_selcoff_gp:29(29,1,1,1)","bs_selcoff_gp",-20,"Lower",-20,7,0,-1.3930425e-06
3036,"tag_fish_rep(3)","tag_fish_rep",0.99,"Upper",0.001,0.99,0,2.2138655e-06
3045,"tag_fish_rep(19)","tag_fish_rep",0.98999996,"Upper",0.001,0.99,3.99999999789458e-08,4.0301121e-06
3051,"tag_fish_rep(35)","tag_fish_rep",0.98999999,"Upper",0.001,0.99,9.99999993922529e-09,5.3175785e-06
