"Index","Var_name","Var_type","Estimate","Hit_Type","L_bound","U_bound","Distance_to_bound","Gradient"
1,"diff_coffs(1,1)","diff_coffs",1.767707e-08,"Lower",0,4,1.767707e-08,-6.9608128e-06
2,"diff_coffs(1,2)","diff_coffs",1.1298986e-09,"Lower",0,4,1.1298986e-09,-8.3083672e-08
4,"diff_coffs(1,4)","diff_coffs",4.3130632e-10,"Lower",0,4,4.3130632e-10,-2.6826067e-08
8,"diff_coffs(1,8)","diff_coffs",0.00076745735,"Lower",0,4,0.00076745735,-3.0475123e-07
13,"diff_coffs(1,13)","diff_coffs",3.0040082e-10,"Lower",0,4,3.0040082e-10,1.6576122e-08
14,"diff_coffs(1,14)","diff_coffs",1.0496718e-08,"Lower",0,4,1.0496718e-08,1.0941889e-08
15,"diff_coffs(1,15)","diff_coffs",1.2038486e-08,"Lower",0,4,1.2038486e-08,1.5742256e-09
17,"diff_coffs(1,17)","diff_coffs",9.3254959e-11,"Lower",0,4,9.3254959e-11,4.6911074e-08
18,"diff_coffs(1,18)","diff_coffs",5.8972605e-09,"Lower",0,4,5.8972605e-09,-6.4774303e-06
20,"diff_coffs(1,20)","diff_coffs",8.3687723e-11,"Lower",0,4,8.3687723e-11,-5.3093907e-07
21,"diff_coffs(1,21)","diff_coffs",2.1532243e-09,"Lower",0,4,2.1532243e-09,-1.1813266e-08
24,"diff_coffs(1,24)","diff_coffs",8.4580609e-10,"Lower",0,4,8.4580609e-10,6.1302819e-08
27,"diff_coffs(2,1)","diff_coffs",2.5590048e-09,"Lower",0,4,2.5590048e-09,7.3238168e-06
28,"diff_coffs(2,2)","diff_coffs",7.8443629e-10,"Lower",0,4,7.8443629e-10,-1.181277e-08
29,"diff_coffs(2,3)","diff_coffs",3.6740928e-09,"Lower",0,4,3.6740928e-09,-1.1557217e-05
30,"diff_coffs(2,4)","diff_coffs",9.4061536e-10,"Lower",0,4,9.4061536e-10,4.6312411e-08
31,"diff_coffs(2,5)","diff_coffs",3.8978687e-10,"Lower",0,4,3.8978687e-10,8.2782427e-06
32,"diff_coffs(2,6)","diff_coffs",3.2463854e-10,"Lower",0,4,3.2463854e-10,-1.2534454e-08
34,"diff_coffs(2,8)","diff_coffs",1.1089996e-10,"Lower",0,4,1.1089996e-10,6.4011192e-09
37,"diff_coffs(2,11)","diff_coffs",2.3562123e-09,"Lower",0,4,2.3562123e-09,4.5693649e-07
38,"diff_coffs(2,12)","diff_coffs",1.0945838e-09,"Lower",0,4,1.0945838e-09,-2.5048132e-08
39,"diff_coffs(2,13)","diff_coffs",3.230809e-10,"Lower",0,4,3.230809e-10,-3.7514068e-06
40,"diff_coffs(2,14)","diff_coffs",1.3499503e-08,"Lower",0,4,1.3499503e-08,1.79811e-08
41,"diff_coffs(2,15)","diff_coffs",8.9649618e-08,"Lower",0,4,8.9649618e-08,2.8908758e-07
42,"diff_coffs(2,16)","diff_coffs",7.1706145e-09,"Lower",0,4,7.1706145e-09,-1.1963892e-08
43,"diff_coffs(2,17)","diff_coffs",1.2938717e-10,"Lower",0,4,1.2938717e-10,-1.382718e-07
46,"diff_coffs(2,20)","diff_coffs",8.6214591e-11,"Lower",0,4,8.6214591e-11,-2.8171227e-07
48,"diff_coffs(2,22)","diff_coffs",3.1360559e-10,"Lower",0,4,3.1360559e-10,-1.400238e-08
50,"diff_coffs(2,24)","diff_coffs",4.4122173e-10,"Lower",0,4,4.4122173e-10,-3.3031608e-10
51,"diff_coffs(2,25)","diff_coffs",1.8943771e-08,"Lower",0,4,1.8943771e-08,9.3868788e-09
52,"diff_coffs(2,26)","diff_coffs",1.44016e-09,"Lower",0,4,1.44016e-09,1.5877267e-08
54,"diff_coffs(3,2)","diff_coffs",6.9377304e-10,"Lower",0,4,6.9377304e-10,2.8206311e-08
55,"diff_coffs(3,3)","diff_coffs",1.7027615e-09,"Lower",0,4,1.7027615e-09,1.5878915e-07
57,"diff_coffs(3,5)","diff_coffs",2.2464075e-10,"Lower",0,4,2.2464075e-10,5.1525971e-08
58,"diff_coffs(3,6)","diff_coffs",3.8578429e-10,"Lower",0,4,3.8578429e-10,-1.2628347e-08
59,"diff_coffs(3,7)","diff_coffs",4.3758845e-08,"Lower",0,4,4.3758845e-08,1.2513363e-07
60,"diff_coffs(3,8)","diff_coffs",1.0787837e-10,"Lower",0,4,1.0787837e-10,1.3942844e-08
63,"diff_coffs(3,11)","diff_coffs",7.8843754e-10,"Lower",0,4,7.8843754e-10,-2.2362773e-07
65,"diff_coffs(3,13)","diff_coffs",4.4748583e-10,"Lower",0,4,4.4748583e-10,-1.1877874e-07
66,"diff_coffs(3,14)","diff_coffs",2.5717661e-09,"Lower",0,4,2.5717661e-09,2.9773952e-10
67,"diff_coffs(3,15)","diff_coffs",4.7775461e-08,"Lower",0,4,4.7775461e-08,1.2011573e-07
69,"diff_coffs(3,17)","diff_coffs",4.8798521e-11,"Lower",0,4,4.8798521e-11,4.5352515e-06
70,"diff_coffs(3,18)","diff_coffs",4.6642371e-07,"Lower",0,4,4.6642371e-07,-1.2915917e-05
71,"diff_coffs(3,19)","diff_coffs",1.7583874e-08,"Lower",0,4,1.7583874e-08,4.892065e-08
72,"diff_coffs(3,20)","diff_coffs",1.0040502e-10,"Lower",0,4,1.0040502e-10,-9.0977222e-09
74,"diff_coffs(3,22)","diff_coffs",4.2112958e-10,"Lower",0,4,4.2112958e-10,-4.2837404e-09
75,"diff_coffs(3,23)","diff_coffs",8.1569479e-08,"Lower",0,4,8.1569479e-08,-1.6511933e-06
76,"diff_coffs(3,24)","diff_coffs",5.0978866e-10,"Lower",0,4,5.0978866e-10,-1.0479286e-08
80,"diff_coffs(4,2)","diff_coffs",8.1383122e-10,"Lower",0,4,8.1383122e-10,1.8315523e-07
81,"diff_coffs(4,3)","diff_coffs",3.6612038e-09,"Lower",0,4,3.6612038e-09,1.026275e-06
82,"diff_coffs(4,4)","diff_coffs",5.8897576e-10,"Lower",0,4,5.8897576e-10,4.4984185e-06
83,"diff_coffs(4,5)","diff_coffs",3.0457925e-10,"Lower",0,4,3.0457925e-10,2.2131181e-09
84,"diff_coffs(4,6)","diff_coffs",2.5455149e-10,"Lower",0,4,2.5455149e-10,-4.8650776e-09
86,"diff_coffs(4,8)","diff_coffs",1.8101831e-10,"Lower",0,4,1.8101831e-10,2.2722963e-08
87,"diff_coffs(4,9)","diff_coffs",1.8345008e-09,"Lower",0,4,1.8345008e-09,-1.6631001e-05
89,"diff_coffs(4,11)","diff_coffs",1.9328734e-09,"Lower",0,4,1.9328734e-09,2.4760319e-06
91,"diff_coffs(4,13)","diff_coffs",4.3952153e-10,"Lower",0,4,4.3952153e-10,1.7578063e-06
95,"diff_coffs(4,17)","diff_coffs",2.4173108e-11,"Lower",0,4,2.4173108e-11,8.4521197e-05
96,"diff_coffs(4,18)","diff_coffs",3.3824754e-09,"Lower",0,4,3.3824754e-09,8.0569992e-06
97,"diff_coffs(4,19)","diff_coffs",1.6502249e-08,"Lower",0,4,1.6502249e-08,2.2630932e-08
98,"diff_coffs(4,20)","diff_coffs",8.3832719e-11,"Lower",0,4,8.3832719e-11,-4.8130995e-07
100,"diff_coffs(4,22)","diff_coffs",1.3070838e-09,"Lower",0,4,1.3070838e-09,-1.4730491e-08
101,"diff_coffs(4,23)","diff_coffs",7.2511215e-09,"Lower",0,4,7.2511215e-09,-1.2744259e-08
102,"diff_coffs(4,24)","diff_coffs",6.4470851e-10,"Lower",0,4,6.4470851e-10,-2.7823647e-08
1101,"region_rec_diffs(4,160)","region_rec_diffs",-2.9999983,"Lower",-3,3,1.69999999988235e-06,-8.1828582e-06
1358,"region_rec_diffs(5,138)","region_rec_diffs",2.9999993,"Upper",-3,3,7.00000000186662e-07,-6.7844952e-06
